question_id	question	answer	rank	score	url	dirname	filename	text	sentence_ids
CQ002	how does the coronavirus respond to changes in the weather	This test may give a negative result when you (or your child) do have the virus (false negative). A false negative result should not effect your (or your child’s) care. CDC has told doctors that a negative test alone does not prove that a person does or does not have the SARS virus. No changes in your medical care or how you interact with other people should be based on a negative result.	1.0	33.57	https://www.cdc.gov/sars/lab/rtpcr-consent.html	C:/Dev/EPIC-QA/epic_qa_consumer_2020-06-10_v2.tar/version_2_split	439db9b920d7b0604c48d5c8a1b1c40bc31bb059.json	This test may give a negative result when you (or your child) do have the virus (false negative). A false negative result should not effect your (or your child?s) care. CDC has told doctors that a negative test alone does not prove that a person does or does not have the SARS virus. No changes in your medical care or how you interact with other people should be based on a negative result.	439db9b920d7b0604c48d5c8a1b1c40bc31bb059-C005-S000:439db9b920d7b0604c48d5c8a1b1c40bc31bb059-C005-S003
CQ002	how does the coronavirus respond to changes in the weather	"Disease Detectives in Nigeria – Pertussis (Photo credit: Visa Tyakaray)

More than 70% of the world remains underprepared to prevent, detect, and respond to a public health emergency.[1](#number1)Through GHSA, CDC works with countries to strengthen public health systems and contain outbreaks at the source, before they spread into regional epidemics or global pandemics. Public health threats, health emergencies, and infectious diseases do not recognize or respect borders. Effective and functional public health systems in all countries reduce the risk and opportunity for health threats to affect the U.S."	2.0	17.29	https://www.cdc.gov/globalhealth/security/ghsareport/2017/outbreaks.html	C:/Dev/EPIC-QA/epic_qa_consumer_2020-06-10_v2.tar/version_2_split	c428358e438b2dee69e8122072e4ed1221b0c70f.json	Disease Detectives in Nigeria Pertussis (Photo credit: Visa Tyakaray)More than 70% of the world remains underprepared to prevent, detect, and respond to a public health emergency.1Through GHSA, CDC works with countries to strengthen public health systems and contain outbreaks at the source, before they spread into regional epidemics or global pandemics. Public health threats, health emergencies, and infectious diseases do not recognize or respect borders. Effective and functional public health systems in all countries reduce the risk and opportunity for health threats to affect the U.S.	c428358e438b2dee69e8122072e4ed1221b0c70f-C004-S000:c428358e438b2dee69e8122072e4ed1221b0c70f-C004-S004
CQ002	how does the coronavirus respond to changes in the weather	Ratio of the volume of air flowing through a space in a certain period of time (air flow rate) to the volume of that space (room volume);usually expressed as the number of room air changes per hour (ACH).	3.0	16.03	https://www.cdc.gov/sars/guidance/core/app2.html	C:/Dev/EPIC-QA/epic_qa_consumer_2020-06-10_v2.tar/version_2_split	61a327798813b09f9471bb79165d4aaf3e220d5d.json	Ratio of the volume of air flowing through a space in a certain period of time (air flow rate) to the volume of that space (room volume);usually expressed as the number of room air changes per hour (ACH).	61a327798813b09f9471bb79165d4aaf3e220d5d-C000-S000:61a327798813b09f9471bb79165d4aaf3e220d5d-C000-S001
CQ002	how does the coronavirus respond to changes in the weather	CDC works bilaterally or directly with national governments, non-governmental organizations, academia, multilateral organizations, the private sector, and other stakeholders to build core public health infrastructure that may be used to effectively identify and combat infectious disease outbreaks and respond to epidemics. CDC leadership and expertise have been instrumental in focusing a multisectoral and multinational coalition across 11 technical areas known as GHSA Action Packages that build core public health capacities in partner countries. CDC’s focus on GHSA Action Packages such as disease surveillance, laboratory systems, workforce development, and emergency management have already resulted in measurable progress.	4.0	12.55	https://www.cdc.gov/globalhealth/security/ghsareport/2017/outbreaks.html	C:/Dev/EPIC-QA/epic_qa_consumer_2020-06-10_v2.tar/version_2_split	c428358e438b2dee69e8122072e4ed1221b0c70f.json	CDC works bilaterally or directly with national governments, non-governmental organizations, academia, multilateral organizations, the private sector, and other stakeholders to build core public health infrastructure that may be used to effectively identify and combat infectious disease outbreaks and respond to epidemics. CDC leadership and expertise have been instrumental in focusing a multisectoral and multinational coalition across 11 technical areas known as GHSA Action Packages that build core public health capacities in partner countries. CDCs focus on GHSA Action Packages such as disease surveillance, laboratory systems, workforce development, and emergency management have already resulted in measurable progress.	c428358e438b2dee69e8122072e4ed1221b0c70f-C007-S000:c428358e438b2dee69e8122072e4ed1221b0c70f-C007-S002
CQ002	how does the coronavirus respond to changes in the weather	"The virus that causes COVID-19 is thought to spread mainly from person to person, mainly through respiratory droplets produced when an infected person coughs, sneezes, or talks. These droplets can land in the mouths or noses of people who are nearby or possibly be inhaled into the lungs. Spread is more likely when people are in close contact with one another (within about 6 feet).

COVID-19 seems to be spreading easily and sustainably in the community (“community spread”) in [many affected geographic areas](https://www.cdc.gov/coronavirus/2019-ncov/prevent-getting-sick/how-covid-spreads.html). Community spread means people have been infected with the virus in an area, including some who are not sure how or where they became infected."	5.0	8.44	https://www.cdc.gov/coronavirus/2019-ncov/faq.html	C:/Dev/EPIC-QA/epic_qa_consumer_2020-06-10_v2.tar/version_2_split	95534418522ff422077fa28cb7dd5e824d6841a4.json	The virus that causes COVID-19 is thought to spread mainly from person to person, mainly through respiratory droplets produced when an infected person coughs or sneezes. These droplets can land in the mouths or noses of people who are nearby or possibly be inhaled into the lungs. Spread is more likely when people are in close contact with one another (within about 6 feet).COVID-19 seems to be spreading easily and sustainably in the community (?community spread?) in many affected geographic areas. Community spread means people have been infected with the virus in an area, including some who are not sure how or where they became infected.Learn what is known about the spread of newly emerged coronaviruses.	95534418522ff422077fa28cb7dd5e824d6841a4-C096-S000:95534418522ff422077fa28cb7dd5e824d6841a4-C096-S005
CQ002	how does the coronavirus respond to changes in the weather	"In the fight against infectious diseases, no nation can stand alone. When it takes less than 36 hours for an outbreak to spread from a remote village to any major city in the world, protecting our health and national security means making sure other countries have the knowledge and resources to stop threats before they can spread beyond their borders. Together, we must build these first lines of defense to better prevent, detect, and respond to disease.

Protecting Americans’ health includes strengthening global health security. The Division of Global Health Protection (DGHP) leads CDC’s global health security efforts, working with our partner countries to help build the core public health capacities that are needed to identify and contain outbreaks before they become epidemics that could affect us all.

Health Security is a National Security Issue

Not only does investment in global health security help prevent threats from reaching our shores, it also promotes economic and political stability in the U.S. and around the world."	6.0	5.14	https://www.cdc.gov/globalhealth/healthprotection/ghs/about.html	C:/Dev/EPIC-QA/epic_qa_consumer_2020-06-10_v2.tar/version_2_split	082c900a7cea1686e59c1356a2ec46c8ca4e4038.json	In the fight against infectious diseases, no nation can stand alone. When it takes less than 36 hours for an outbreak to spread from a remote village to any major city in the world, protecting our health and national security means making sure other countries have the knowledge and resources to stop threats before they can spread beyond their borders. Together, we must build these first lines of defense to better prevent, detect, and respond to disease.Protecting Americans? health includes strengthening global health security. The Division of Global Health Protection (DGHP) leads CDC?s global health security efforts, working with our partner countries to help build the core public health capacities that are needed to identify and contain outbreaks before they become epidemics that could affect us all.Health Security is a National Security Issue Not only does investment in global health security help prevent threats from reaching our shores, it also promotes economic and political stability in the U.S. and around the world.	082c900a7cea1686e59c1356a2ec46c8ca4e4038-C000-S000:082c900a7cea1686e59c1356a2ec46c8ca4e4038-C000-S006
CQ002	how does the coronavirus respond to changes in the weather	"Recommendation #7: Weather information should be more closely heeded.

Weather buoy observations are now accessible via the Internet and should be used in conjunction with nomographic estimates for icing hazard, [[USCG 1986](https://www.cdc.gov/niosh/docs/97-163/default.html); [Ball 1978](https://www.cdc.gov/niosh/docs/97-163/default.html)], enabling the trained skipper to make an informed decision whether to sail, return to port, or seek a protected anchorage before the worst conditions occur.

Icing of the ship’s superstructure can rapidly compromise the stability of any vessel and predispose it to capsizing. Icing nomograms show the relationship between air temperature, surface wind speed, and water temperature to the rate of ice accumulation, and can be used to predict icing hazard [[Ball 1978](https://www.cdc.gov/niosh/docs/97-163/default.html)]. The National Weather Service includes vessel icing forecasts with their regular weather broadcasts as a service to fishermen. The forecasts are given in four categories: light, moderate, heavy, or very heavy freezing [ ]()spray [[Ball 1978](https://www.cdc.gov/niosh/docs/97-163/default.html)] ([Appendix III](https://www.cdc.gov/niosh/docs/97-163/default.html) )."	7.0	1.3	https://www.cdc.gov/niosh/docs/97-163/default.html	C:/Dev/EPIC-QA/epic_qa_consumer_2020-06-10_v2.tar/version_2_split	420e7671010463a02c02bbb126b0056a7e10822d.json	Recommendation #7: Weather information should be more closely heeded.Weather buoy observations are now accessible via the Internet and should be used in conjunction with nomographic estimates for icing hazard, [USCG 1986; Ball 1978], enabling the trained skipper to make an informed decision whether to sail, return to port, or seek a protected anchorage before the worst conditions occur.Icing of the ships superstructure can rapidly compromise the stability of any vessel and predispose it to capsizing. Icing nomograms show the relationship between air temperature, surface wind speed, and water temperature to the rate of ice accumulation, and can be used to predict icing hazard [Ball 1978]. The National Weather Service includes vessel icing forecasts with their regular weather broadcasts as a service to fishermen. The forecasts are given in four categories: light, moderate, heavy, or very heavy freezing spray [Ball 1978] (Appendix III ).	420e7671010463a02c02bbb126b0056a7e10822d-C023-S000:420e7671010463a02c02bbb126b0056a7e10822d-C023-S005
CQ002	how does the coronavirus respond to changes in the weather	The estimates of cumulative burden of seasonal influenza are considered preliminary and may change each week as new laboratory-confirmed influenza-associated hospitalizations are reported to CDC. New reports include both new admissions that have occurred during the reporting week and also patients admitted in previous weeks that have been newly reported to CDC.	8.0	0.61	https://www.cdc.gov/flu/about/burden/preliminary-in-season-estimates.htm	C:/Dev/EPIC-QA/epic_qa_consumer_2020-06-10_v2.tar/version_2_split	d9061c080982b3b407f2315dfdba75410605b5a1.json	The estimates of cumulative burden of seasonal influenza are considered preliminary and may change each week as new laboratory-confirmed influenza-associated hospitalizations are reported to CDC. New reports include both new admissions that have occurred during the reporting week and also patients admitted in previous weeks that have been newly reported to CDC.	d9061c080982b3b407f2315dfdba75410605b5a1-C004-S000:d9061c080982b3b407f2315dfdba75410605b5a1-C004-S001
CQ004	how do people die from the coronavirus?	"COVID-19 is a new disease and **we are still learning how it spreads.** The virus that causes COVID-19 is thought to [spread](https://www.cdc.gov/coronavirus/2019-ncov/prevent-getting-sick/how-covid-spreads.html) mainly from person-to-person through respiratory droplets produced when an infected person coughs, sneezes, or talks. These droplets can land in the mouths or noses of people who are nearby or possibly be inhaled into the lungs. This type of spread is not a concern after death.

It may be possible that a person can get COVID-19 by touching a surface or object that has the virus on it and then touching their own mouth, nose, or possibly their eyes. This is not thought to be the main way the virus spreads.

People should consider not touching the body of someone who has died of COVID-19. Older people and people of all ages with severe underlying health conditions are at higher risk of severe illness from COVID-19. There may be less of a chance of the virus spreading from certain types of touching, such as holding the hand or hugging after the body has been prepared for viewing. Other activities, such as kissing, washing, and shrouding should be avoided before, during, and after the body has been prepared, if possible. If washing the body or shrouding are important religious or cultural practices, families are encouraged to work with their community’s cultural and religious leaders and funeral home staff on how to reduce their exposure as much as possible. At a minimum, people conducting these activities should wear disposable gloves. If splashing of fluids is expected, additional personal protective equipment (PPE) may be required (such as disposable gown, face shield, or goggles and N-95 respirator)."	1.0	38.93	https://www.cdc.gov/coronavirus/2019-ncov/faq.html	C:/Dev/EPIC-QA/epic_qa_consumer_2020-06-10_v2.tar/version_2_split	95534418522ff422077fa28cb7dd5e824d6841a4.json	COVID-19 is a new disease and we are still learning how it spreads. The virus that causes COVID-19 is thought to mainly spread from close contact (i.e., within about 6 feet) with a person who is currently sick with COVID-19. The virus likely spreads primarily through respiratory droplets produced when an infected person coughs or sneezes, similar to how influenza and other respiratory infections spread. These droplets can land in the mouths or noses of people who are nearby or possibly be inhaled into the lungs. This type of spread is not a concern after death. It may be possible that a person can get COVID-19 by touching a surface or object that has the virus on it and then touching their own mouth, nose, or possibly their eyes, but this is not thought to be the main way the virus spreads. People should consider not touching the body of someone who has died of COVID-19. Older people and people of all ages with severe underlying health conditions are at higher risk of developing serious COVID-19 illness. There may be less of a chance of the virus spreading from certain types of touching, such as holding the hand or hugging after the body has been prepared for viewing. Other activities, such as kissing, washing, and shrouding should be avoided before, during, and after the body has been prepared, if possible. If washing the body or shrouding are important religious or cultural practices, families are encouraged to work with their community?s cultural and religious leaders and funeral home staff on how to reduce their exposure as much as possible. At a minimum, people conducting these activities should wear disposable gloves. If splashing of fluids is expected, additional personal protective equipment (PPE) may be required (such as disposable gown, faceshield or goggles and N-95 respirator). Cleaning should be conducted in accordance with manufacturer?s instructions for all cleaning and disinfection products (e.g., concentration, application method and contact time). Products with EPA-approved emerging viral pathogens claimspdf iconexternal iconpdf iconexternal icon are expected to be effective against COVID-19 based on data for harder to kill viruses. 	95534418522ff422077fa28cb7dd5e824d6841a4-C031-S000:95534418522ff422077fa28cb7dd5e824d6841a4-C031-S014
CQ004	how do people die from the coronavirus?	"COVID-19 is a new disease and **we are still learning how it spreads.** The virus that causes COVID-19 is thought to [spread](https://www.cdc.gov/coronavirus/2019-ncov/prevent-getting-sick/how-covid-spreads.html) mainly from person-to-person through respiratory droplets produced when an infected person coughs, sneezes, or talks. These droplets can land in the mouths or noses of people who are nearby or possibly be inhaled into the lungs. This type of spread is not a concern after death.

It may be possible that a person can get COVID-19 by touching a surface or object that has the virus on it and then touching their own mouth, nose, or possibly their eyes. This is not thought to be the main way the virus spreads.

People should consider not touching the body of someone who has died of COVID-19. Older people and people of all ages with severe underlying health conditions are at higher risk of severe illness from COVID-19. There may be less of a chance of the virus spreading from certain types of touching, such as holding the hand or hugging after the body has been prepared for viewing. Other activities, such as kissing, washing, and shrouding should be avoided before, during, and after the body has been prepared, if possible. If washing the body or shrouding are important religious or cultural practices, families are encouraged to work with their community’s cultural and religious leaders and funeral home staff on how to reduce their exposure as much as possible. At a minimum, people conducting these activities should wear disposable gloves. If splashing of fluids is expected, additional personal protective equipment (PPE) may be required (such as disposable gown, face shield, or goggles and N-95 respirator)."	2.0	38.93	https://www.cdc.gov/coronavirus/2019-ncov/faq.html	C:/Dev/EPIC-QA/epic_qa_consumer_2020-06-10_v2.tar/version_2_split	95534418522ff422077fa28cb7dd5e824d6841a4.json	Am I at risk if I go to a funeral or visitation service for someone who died of COVID-19? There is currently no known risk associated with being in the same room at a funeral or visitation service with the body of someone who died of COVID-19. Am I at risk if I touch someone who died of COVID-19 after they have passed away? COVID-19 is a new disease and we are still learning how it spreads. The virus that causes COVID-19 is thought to mainly spread from close contact (i.e., within about 6 feet) with a person who is currently sick with COVID-19. The virus likely spreads primarily through respiratory droplets produced when an infected person coughs or sneezes, similar to how influenza and other respiratory infections spread. These droplets can land in the mouths or noses of people who are nearby or possibly be inhaled into the lungs. This type of spread is not a concern after death. It may be possible that a person can get COVID-19 by touching a surface or object that has the virus on it and then touching their own mouth, nose, or possibly their eyes, but this is not thought to be the main way the virus spreads. People should consider not touching the body of someone who has died of COVID-19. Older people and people of all ages with severe underlying health conditions are at higher risk of developing serious COVID-19 illness. There may be less of a chance of the virus spreading from certain types of touching, such as holding the hand or hugging after the body has been prepared for viewing. Other activities, such as kissing, washing, and shrouding should be avoided before, during, and after the body has been prepared, if possible. If washing the body or shrouding are important religious or cultural practices, families are encouraged to work with their community?s cultural and religious leaders and funeral home staff on how to reduce their exposure as much as possible. At a minimum, people conducting these activities should wear disposable gloves. 	95534418522ff422077fa28cb7dd5e824d6841a4-C075-S000:95534418522ff422077fa28cb7dd5e824d6841a4-C075-S014
